Sample,Time_s,Value
1,0.0,0.000358297
2,0.1,0.000145881
3,0.2,6.30822e-05
4,0.30000000000000004,0.000317184
5,0.4,0.000446516
6,0.5,0.000357956
7,0.6000000000000001,0.000393156
8,0.7000000000000001,9.37578e-05
9,0.8,0.000240462
10,0.9,0.000148222
11,1.0,0.000118092
12,1.1,0.000144459
13,1.2000000000000002,0.000195181
14,1.3,0.000377682
15,1.4000000000000001,0.000181163
16,1.5,9.94209e-05
17,1.6,0.000118285
18,1.7000000000000002,0.000131947
19,1.8,0.000228247
20,1.9000000000000001,0.000468727
21,2.0,0.000170057
22,2.1,0.000198678
23,2.2,0.000332551
24,2.3000000000000003,0.000293528
25,2.4000000000000004,0.000398091
26,2.5,0.000139564
27,2.6,0.000333118
28,2.7,0.000184872
29,2.8000000000000003,0.000223213
30,2.9000000000000004,0.000177642
31,3.0,0.000147023
32,3.1,0.000180165
33,3.2,0.000423532
34,3.3000000000000003,0.000396589
35,3.4000000000000004,0.000295817
36,3.5,0.000225451
37,3.6,0.000272494
38,3.7,0.000170139
39,3.8000000000000003,0.000286042
40,3.9000000000000004,0.000344259
41,4.0,0.00016223
42,4.1000000000000005,0.000199059
43,4.2,0.000235063
44,4.3,0.000342809
45,4.4,0.000321495
46,4.5,0.000211756
47,4.6000000000000005,0.000184572
48,4.7,0.000464618
49,4.800000000000001,0.000159908
50,4.9,0.000418918
51,5.0,0.000258358
52,5.1000000000000005,0.000189129
53,5.2,0.000124474
54,5.300000000000001,0.000141425
55,5.4,0.000236374
56,5.5,0.000168092
57,5.6000000000000005,0.000193023
58,5.7,0.000138618
59,5.800000000000001,0.000196083
60,5.9,0.0001214
61,6.0,0.000365023
62,6.1000000000000005,0.000363426
63,6.2,0.0002865
64,6.300000000000001,0.000205412
65,6.4,0.000495157
66,6.5,0.000369587
67,6.6000000000000005,0.000156889
68,6.7,0.0001599
69,6.800000000000001,0.000244184
70,6.9,0.000449315
71,7.0,0.000155801
72,7.1000000000000005,9.85243e-05
73,7.2,0.000126791
74,7.300000000000001,0.000134307
75,7.4,0.000215422
76,7.5,0.000303222
77,7.6000000000000005,0.000347966
78,7.7,0.000203093
79,7.800000000000001,0.000319631
80,7.9,0.000240345
81,8.0,0.000122351
82,8.1,0.000231896
83,8.200000000000001,0.000299848
84,8.3,0.000448073
85,8.4,0.000108586
86,8.5,0.000141327
87,8.6,0.000110434
88,8.700000000000001,0.000196326
89,8.8,0.000260746
90,8.9,0.000290797
91,9.0,0.000359193
92,9.1,0.000196389
93,9.200000000000001,0.000309637
94,9.3,0.000378191
95,9.4,0.000132557
96,9.5,7.04677e-05
97,9.600000000000001,0.000416746
98,9.700000000000001,0.000564324
99,9.8,0.000180029
100,9.9,0.000359755
101,10.0,0.000210642
102,10.100000000000001,0.000140842
103,10.200000000000001,0.000154864
104,10.3,0.00036172
105,10.4,0.000234245
106,10.5,7.16205e-05
107,10.600000000000001,0.00044251
108,10.700000000000001,0.000605299
109,10.8,0.000288963
110,10.9,0.000291827
111,11.0,0.000384498
112,11.100000000000001,0.000290451
113,11.200000000000001,0.000217875
114,11.3,0.00027964
115,11.4,0.00024096
116,11.5,0.000131792
117,11.600000000000001,0.000417501
118,11.700000000000001,0.000202267
119,11.8,0.000152468
120,11.9,0.000174042
121,12.0,0.000364914
122,12.100000000000001,0.000341239
123,12.200000000000001,0.000149059
124,12.3,0.00014027
125,12.4,0.000385042
126,12.5,0.000294318
127,12.600000000000001,0.000167847
128,12.700000000000001,0.000110257
129,12.8,0.000501662
130,12.9,0.000312741
131,13.0,0.000267951
132,13.100000000000001,0.000222142
133,13.200000000000001,0.000317453
134,13.3,0.000487052
135,13.4,0.000150697
136,13.5,0.000473744
137,13.600000000000001,0.000248539
138,13.700000000000001,0.000179863
139,13.8,0.000414467
140,13.9,0.000322122
141,14.0,0.000226672
142,14.100000000000001,0.000497296
143,14.200000000000001,0.000432331
144,14.3,0.000201022
145,14.4,0.000343572
146,14.5,0.000211029
147,14.600000000000001,0.000444399
148,14.700000000000001,0.000379099
149,14.8,0.000313943
150,14.9,0.000509958
151,15.0,0.000419692
152,15.100000000000001,0.00044393
153,15.200000000000001,0.000184485
154,15.3,0.000504676
155,15.4,0.000184084
156,15.5,0.000538827
157,15.600000000000001,0.00020155
158,15.700000000000001,0.000164462
159,15.8,0.000310269
160,15.9,0.00023218
161,16.0,0.000267505
162,16.1,0.000306432
163,16.2,0.000282087
164,16.3,0.000192001
165,16.400000000000002,0.000292844
166,16.5,0.000152185
167,16.6,0.000253538
168,16.7,0.000172371
169,16.8,0.000340146
170,16.900000000000002,0.000423523
171,17.0,0.000453608
172,17.1,0.000241426
173,17.2,0.000262068
174,17.3,0.000189415
175,17.400000000000002,0.000229258
176,17.5,0.00045775
177,17.6,0.000219286
178,17.7,0.000307915
179,17.8,0.000350159
180,17.900000000000002,0.000564638
181,18.0,0.00036033
182,18.1,0.000139376
183,18.2,0.000140052
184,18.3,0.000326613
185,18.400000000000002,0.000455736
186,18.5,0.000254426
187,18.6,0.000241421
188,18.7,0.000239862
189,18.8,0.000569205
190,18.900000000000002,0.000286636
191,19.0,0.000285854
192,19.1,0.000538942
193,19.200000000000003,0.000365941
194,19.3,0.000359199
195,19.400000000000002,0.000365584
196,19.5,0.000239467
197,19.6,0.000249074
198,19.700000000000003,0.000457769
199,19.8,0.000218758
200,19.900000000000002,0.000251355
201,20.0,0.000228182
202,20.1,0.000519668
203,20.200000000000003,0.000655888
204,20.3,0.000147944
205,20.400000000000002,0.000173892
206,20.5,0.000288097
207,20.6,0.000376678
208,20.700000000000003,0.000571137
209,20.8,0.000162492
210,20.900000000000002,0.000493912
211,21.0,0.000488916
212,21.1,0.00021265
213,21.200000000000003,0.000208083
214,21.3,0.000444083
215,21.400000000000002,0.000290127
216,21.5,0.00021125
217,21.6,0.000173191
218,21.700000000000003,0.000466656
219,21.8,0.000399895
220,21.900000000000002,0.000372697
221,22.0,0.000271388
222,22.1,0.000235289
223,22.200000000000003,0.000476685
224,22.3,0.000220243
225,22.400000000000002,0.000183128
226,22.5,0.000547523
227,22.6,0.000512459
228,22.700000000000003,0.000267216
229,22.8,0.000372754
230,22.900000000000002,0.00051162
231,23.0,0.000516003
232,23.1,0.000281864
233,23.200000000000003,0.00032658
234,23.3,0.000523107
235,23.400000000000002,0.00062501
236,23.5,0.000146339
237,23.6,0.000457998
238,23.700000000000003,0.000110565
239,23.8,0.000572257
240,23.900000000000002,0.000463666
241,24.0,0.000649127
242,24.1,0.000614091
243,24.200000000000003,0.00011057
244,24.3,0.000222617
245,24.400000000000002,0.000348426
246,24.5,0.000163508
247,24.6,0.000445238
248,24.700000000000003,0.000605228
249,24.8,0.000190666
250,24.900000000000002,0.000265913
251,25.0,0.000157134
252,25.1,0.000413516
253,25.200000000000003,0.0002526
254,25.3,0.000195958
255,25.400000000000002,0.000310858
256,25.5,0.000217771
257,25.6,0.00047103
258,25.700000000000003,0.00027713
259,25.8,0.000165909
260,25.900000000000002,0.000551878
261,26.0,0.000189069
262,26.1,0.000234338
263,26.200000000000003,0.000232305
264,26.3,0.000259735
265,26.400000000000002,0.000104722
266,26.5,0.000162677
267,26.6,0.000256249
268,26.700000000000003,0.000421188
269,26.8,0.000212179
270,26.900000000000002,0.000663266
271,27.0,0.000409813
272,27.1,0.000330829
273,27.200000000000003,0.000282256
274,27.3,0.000336626
275,27.400000000000002,0.000221208
276,27.5,0.000239669
277,27.6,0.000496334
278,27.700000000000003,0.000427309
279,27.8,0.000200667
280,27.900000000000002,0.000163705
281,28.0,0.000202218
282,28.1,0.000180198
283,28.200000000000003,0.000254576
284,28.3,0.000230231
285,28.400000000000002,0.000250016
286,28.5,0.000171973
287,28.6,0.000235652
288,28.700000000000003,0.000254344
289,28.8,0.000128467
290,28.900000000000002,0.000148936
291,29.0,0.000172033
292,29.1,0.000241456
293,29.200000000000003,0.000203057
294,29.3,0.000329068
295,29.400000000000002,0.000523977
296,29.5,8.59554e-05
297,29.6,0.000380377
298,29.700000000000003,0.000168212
299,29.8,0.000560438
300,29.900000000000002,0.000126063
301,30.0,0.00018162
302,30.1,0.00029467
303,30.200000000000003,0.000383448
304,30.3,0.000288285
305,30.400000000000002,0.000290528
306,30.5,0.000158557
307,30.6,0.000224609
308,30.700000000000003,0.000198822
309,30.8,0.000332829
310,30.900000000000002,0.000493903
311,31.0,0.000417454
312,31.1,0.000344603
313,31.200000000000003,0.000442396
314,31.3,0.000326975
315,31.400000000000002,0.000410559
316,31.5,0.00041925
317,31.6,0.000264019
318,31.700000000000003,0.00016837
319,31.8,0.000255835
320,31.900000000000002,0.000235995
321,32.0,0.000447141
322,32.1,0.000345853
323,32.2,0.000330058
324,32.300000000000004,0.000360199
325,32.4,0.000323204
326,32.5,9.0324e-05
327,32.6,0.000263904
328,32.7,0.000281474
329,32.800000000000004,0.000330464
330,32.9,0.000245888
331,33.0,0.000278675
332,33.1,0.000452498
333,33.2,0.000104918
334,33.300000000000004,0.000191151
335,33.4,0.000131421
336,33.5,0.000463612
337,33.6,0.000297932
338,33.7,0.000206622
339,33.800000000000004,8.29412e-05
340,33.9,0.000424995
341,34.0,0.000228389
342,34.1,0.000137095
343,34.2,0.000181045
344,34.300000000000004,0.000200602
345,34.4,0.000380309
346,34.5,0.000171398
347,34.6,0.000250755
348,34.7,0.000316655
349,34.800000000000004,0.000125475
350,34.9,0.000230572
351,35.0,0.000271328
352,35.1,0.000268903
353,35.2,9.86224e-05
354,35.300000000000004,0.000298169
355,35.4,0.000151904
356,35.5,0.000425968
357,35.6,0.000196781
358,35.7,0.000408545
359,35.800000000000004,0.000499005
360,35.9,0.000406635
361,36.0,0.000550488
362,36.1,0.000352743
363,36.2,0.00056951
364,36.300000000000004,0.000442862
365,36.4,0.000298292
366,36.5,0.000140684
367,36.6,0.000230564
368,36.7,0.000246961
369,36.800000000000004,0.000143197
370,36.9,0.00023651
371,37.0,0.000171681
372,37.1,0.000184389
